value,n_individuals,eqtp,variable,sample,treated
1,461,233.02032967032966,cs1,dads-2005_2012,2
2,107132,86693.90714285715,cs1,dads-2005_2012,2
3,1788704,1326891.632967033,cs1,dads-2005_2012,2
4,2331251,1627748.2857142857,cs1,dads-2005_2012,2
5,4201658,1978843.79010989,cs1,dads-2005_2012,2
6,5456704,2975934.017032967,cs1,dads-2005_2012,2
7,415616,199852.35604395604,cs1,dads-2005_2012,2
NA,258,122.35824175824176,cs1,dads-2005_2012,2
1,150263,84509.82197802198,sec_a10,dads-2005_2012,2
2,2553785,2069162.9950549451,sec_a10,dads-2005_2012,2
3,1079461,775317.1225274726,sec_a10,dads-2005_2012,2
4,4473421,2681410.7653846154,sec_a10,dads-2005_2012,2
5,725763,417064.00384615385,sec_a10,dads-2005_2012,2
6,532760,411770.5741758242,sec_a10,dads-2005_2012,2
7,176593,108073.34835164835,sec_a10,dads-2005_2012,2
8,3810040,1284684.4384615384,sec_a10,dads-2005_2012,2
9,458473,224509.15164835166,sec_a10,dads-2005_2012,2
10,334644,137661.77307692307,sec_a10,dads-2005_2012,2
NA,6581,2155.373076923077,sec_a10,dads-2005_2012,2
1,659891,380900.2598901099,dip_tot,dads-2005_2012,2
2,128476,86492.66703296703,dip_tot,dads-2005_2012,2
3,258658,157422.3489010989,dip_tot,dads-2005_2012,2
4,1352282,908743.1681318681,dip_tot,dads-2005_2012,2
5,516821,337054.60934065934,dip_tot,dads-2005_2012,2
6,316053,194797.23626373627,dip_tot,dads-2005_2012,2
7,644285,439482.56703296705,dip_tot,dads-2005_2012,2
8,503113,350676.33736263734,dip_tot,dads-2005_2012,2
NA,9922205,5340750.1736263735,dip_tot,dads-2005_2012,2
1,662,351.03846153846155,cs1,dads-2005_2015,2
2,154176,123213.29065934067,cs1,dads-2005_2015,2
3,2552199,1904455.8098901098,cs1,dads-2005_2015,2
4,3130730,2183693.8873626376,cs1,dads-2005_2015,2
5,5983681,2835364.5637362637,cs1,dads-2005_2015,2
6,7431358,4051869.626923077,cs1,dads-2005_2015,2
7,554124,264374.81098901096,cs1,dads-2005_2015,2
NA,4976,3122.231868131868,cs1,dads-2005_2015,2
1,181799,100629.76868131869,sec_a10,dads-2005_2015,2
2,3408717,2774175.2494505495,sec_a10,dads-2005_2015,2
3,1479142,1063353.2263736264,sec_a10,dads-2005_2015,2
4,6279271,3766743.574725275,sec_a10,dads-2005_2015,2
5,1009612,580785.8851648351,sec_a10,dads-2005_2015,2
6,712832,553453.9807692308,sec_a10,dads-2005_2015,2
7,226728,144359.25934065934,sec_a10,dads-2005_2015,2
8,5335309,1849103.9186813186,sec_a10,dads-2005_2015,2
9,683602,331579.5406593407,sec_a10,dads-2005_2015,2
10,488234,199779.90274725275,sec_a10,dads-2005_2015,2
NA,6660,2480.953296703297,sec_a10,dads-2005_2015,2
2,265,211.5489010989011,cs1,le5_panelsize0,0
3,2261,2067.939010989011,cs1,le5_panelsize0,0
4,3856,3459.9285714285716,cs1,le5_panelsize0,0
5,5744,4543.001098901099,cs1,le5_panelsize0,0
6,8427,7525.226923076923,cs1,le5_panelsize0,0
7,339,276.97637362637363,cs1,le5_panelsize0,0
1,233,200.5791208791209,sec_a10,le5_panelsize0,0
2,6195,5711.638461538461,sec_a10,le5_panelsize0,0
3,2827,2421.5934065934066,sec_a10,le5_panelsize0,0
4,6266,5341.200549450549,sec_a10,le5_panelsize0,0
5,847,750.0697802197802,sec_a10,le5_panelsize0,0
6,517,481.2912087912088,sec_a10,le5_panelsize0,0
7,303,250.90054945054945,sec_a10,le5_panelsize0,0
8,2286,1854.5461538461539,sec_a10,le5_panelsize0,0
9,664,499.5241758241758,sec_a10,le5_panelsize0,0
10,758,577.4956043956043,sec_a10,le5_panelsize0,0
1,1086,922.9989010989011,dip_tot,le5_panelsize0,0
2,44,38.08516483516483,dip_tot,le5_panelsize0,0
3,406,345.55824175824176,dip_tot,le5_panelsize0,0
4,2766,2466.3598901098903,dip_tot,le5_panelsize0,0
5,1039,932.3868131868132,dip_tot,le5_panelsize0,0
6,509,434.2565934065934,dip_tot,le5_panelsize0,0
7,1220,1078.6945054945054,dip_tot,le5_panelsize0,0
8,763,687.6813186813187,dip_tot,le5_panelsize0,0
NA,13064,11182.817582417583,dip_tot,le5_panelsize0,0
2,95,29.625274725274725,cs1,le5_panelsize0,1
3,2479,1082.1686813186814,cs1,le5_panelsize0,1
4,3715,1348.0472527472527,cs1,le5_panelsize0,1
5,5364,1727.2752747252748,cs1,le5_panelsize0,1
6,9088,3174.869230769231,cs1,le5_panelsize0,1
7,155,51.09340659340659,cs1,le5_panelsize0,1
1,184,83.22582417582417,sec_a10,le5_panelsize0,1
2,4717,2169.9412087912087,sec_a10,le5_panelsize0,1
3,1959,831.2774725274726,sec_a10,le5_panelsize0,1
4,5118,2190.537912087912,sec_a10,le5_panelsize0,1
5,660,298.2879120879121,sec_a10,le5_panelsize0,1
6,453,222.871978021978,sec_a10,le5_panelsize0,1
7,276,108.3554945054945,sec_a10,le5_panelsize0,1
8,2674,992.3318681318681,sec_a10,le5_panelsize0,1
9,2390,283.59615384615387,sec_a10,le5_panelsize0,1
10,673,232.27252747252749,sec_a10,le5_panelsize0,1
NA,1793,0.47087912087912087,sec_a10,le5_panelsize0,1
1,1253,460.4340659340659,dip_tot,le5_panelsize0,1
2,53,16.959340659340658,dip_tot,le5_panelsize0,1
3,375,151.12252747252748,dip_tot,le5_panelsize0,1
4,2407,917.0346153846153,dip_tot,le5_panelsize0,1
5,777,311.62142857142857,dip_tot,le5_panelsize0,1
6,453,171.0989010989011,dip_tot,le5_panelsize0,1
7,890,354.9769230769231,dip_tot,le5_panelsize0,1
8,690,326.8417582417582,dip_tot,le5_panelsize0,1
NA,13999,4703.07967032967,dip_tot,le5_panelsize0,1
2,79,74.8467032967033,cs1,le5_panelsize10,0
3,1808,1699.5747252747253,cs1,le5_panelsize10,0
4,2717,2515.893956043956,cs1,le5_panelsize10,0
5,3151,2586.724725274725,cs1,le5_panelsize10,0
6,5613,5053.588461538461,cs1,le5_panelsize10,0
7,121,96.72637362637363,cs1,le5_panelsize10,0
1,130,112.89505494505495,sec_a10,le5_panelsize10,0
2,5266,4913.469230769231,sec_a10,le5_panelsize10,0
3,1088,951.0994505494506,sec_a10,le5_panelsize10,0
4,3573,3151.5637362637362,sec_a10,le5_panelsize10,0
5,627,568.2868131868132,sec_a10,le5_panelsize10,0
6,409,382.4384615384615,sec_a10,le5_panelsize10,0
7,96,81.66263736263737,sec_a10,le5_panelsize10,0
8,1609,1327.6543956043956,sec_a10,le5_panelsize10,0
9,462,363.60164835164835,sec_a10,le5_panelsize10,0
10,232,177.33076923076922,sec_a10,le5_panelsize10,0
1,746,665.1423076923077,dip_tot,le5_panelsize10,0
2,29,25.847252747252746,dip_tot,le5_panelsize10,0
3,257,229.79285714285714,dip_tot,le5_panelsize10,0
4,1721,1571.5373626373625,dip_tot,le5_panelsize10,0
5,672,600.9225274725275,dip_tot,le5_panelsize10,0
6,344,305.09285714285716,dip_tot,le5_panelsize10,0
7,901,830.1120879120879,dip_tot,le5_panelsize10,0
8,581,527.1642857142857,dip_tot,le5_panelsize10,0
NA,8242,7274.390659340659,dip_tot,le5_panelsize10,0
2,57,20.804395604395605,cs1,le5_panelsize10,1
3,1956,903.2917582417582,cs1,le5_panelsize10,1
4,2654,1004.6412087912088,cs1,le5_panelsize10,1
5,2695,916.2736263736264,cs1,le5_panelsize10,1
6,6054,2176.0258241758243,cs1,le5_panelsize10,1
7,76,26.052197802197803,cs1,le5_panelsize10,1
1,109,51.073626373626375,sec_a10,le5_panelsize10,1
2,4038,1874.5532967032966,sec_a10,le5_panelsize10,1
3,714,297.0208791208791,sec_a10,le5_panelsize10,1
4,3045,1365.4813186813187,sec_a10,le5_panelsize10,1
5,506,226.29725274725274,sec_a10,le5_panelsize10,1
6,367,190.37087912087912,sec_a10,le5_panelsize10,1
7,109,46.50714285714286,sec_a10,le5_panelsize10,1
8,1911,726.2521978021978,sec_a10,le5_panelsize10,1
9,1424,190.32967032967034,sec_a10,le5_panelsize10,1
10,240,79.21978021978022,sec_a10,le5_panelsize10,1
NA,1030,0.07307692307692308,sec_a10,le5_panelsize10,1
1,809,307.67087912087914,dip_tot,le5_panelsize10,1
2,38,13.288461538461538,dip_tot,le5_panelsize10,1
3,241,101.21538461538462,dip_tot,le5_panelsize10,1
4,1512,601.9686813186813,dip_tot,le5_panelsize10,1
5,523,215.55934065934065,dip_tot,le5_panelsize10,1
6,283,107.7945054945055,dip_tot,le5_panelsize10,1
7,656,266.39945054945053,dip_tot,le5_panelsize10,1
8,528,263.5164835164835,dip_tot,le5_panelsize10,1
NA,8903,3169.7659340659343,dip_tot,le5_panelsize10,1
2,142,125.11648351648351,cs1,le5_panelsize20,0
3,2502,2325.697802197802,cs1,le5_panelsize20,0
4,4019,3653.3554945054943,cs1,le5_panelsize20,0
5,5679,4511.064285714286,cs1,le5_panelsize20,0
6,8651,7656.064835164835,cs1,le5_panelsize20,0
7,281,221.69175824175824,cs1,le5_panelsize20,0
1,233,197.00274725274724,sec_a10,le5_panelsize20,0
2,6202,5728.911538461539,sec_a10,le5_panelsize20,0
3,2828,2466.417032967033,sec_a10,le5_panelsize20,0
4,6505,5592.6038461538465,sec_a10,le5_panelsize20,0
5,846,766.34010989010994,sec_a10,le5_panelsize20,0
6,517,476.44835164835166,sec_a10,le5_panelsize20,0
7,303,250.93186813186813,sec_a10,le5_panelsize20,0
8,2300,1851.4763736263735,sec_a10,le5_panelsize20,0
9,669,509.9758241758242,sec_a10,le5_panelsize20,0
10,868,653.1906593406593,sec_a10,le5_panelsize20,0
1,1125,967.5428571428571,dip_tot,le5_panelsize20,0
2,51,42.13406593406594,dip_tot,le5_panelsize20,0
3,401,340.67692307692306,dip_tot,le5_panelsize20,0
4,2729,2447.8137362637362,dip_tot,le5_panelsize20,0
5,1030,903.1554945054945,dip_tot,le5_panelsize20,0
6,545,463.7956043956044,dip_tot,le5_panelsize20,0
7,1288,1155.7032967032967,dip_tot,le5_panelsize20,0
8,803,718.1208791208791,dip_tot,le5_panelsize20,0
NA,13304,11454.355494505495,dip_tot,le5_panelsize20,0
2,96,29.99175824175824,cs1,le5_panelsize20,1
3,2506,1093.5467032967033,cs1,le5_panelsize20,1
4,3752,1360.463186813187,cs1,le5_panelsize20,1
5,5579,1796.75,cs1,le5_panelsize20,1
6,9178,3203.754945054945,cs1,le5_panelsize20,1
7,162,53.47582417582417,cs1,le5_panelsize20,1
1,185,83.2510989010989,sec_a10,le5_panelsize20,1
2,4726,2175.789010989011,sec_a10,le5_panelsize20,1
3,1962,832.25,sec_a10,le5_panelsize20,1
4,5298,2263.1857142857143,sec_a10,le5_panelsize20,1
5,663,298.5879120879121,sec_a10,le5_panelsize20,1
6,453,222.871978021978,sec_a10,le5_panelsize20,1
7,279,109.43131868131869,sec_a10,le5_panelsize20,1
8,2697,1000.3967032967033,sec_a10,le5_panelsize20,1
9,2420,285.0076923076923,sec_a10,le5_panelsize20,1
10,753,267.1565934065934,sec_a10,le5_panelsize20,1
NA,1840,0.47087912087912087,sec_a10,le5_panelsize20,1
1,1278,469.64505494505494,dip_tot,le5_panelsize20,1
2,53,16.959340659340658,dip_tot,le5_panelsize20,1
3,379,152.910989010989,dip_tot,le5_panelsize20,1
4,2440,929.1456043956044,dip_tot,le5_panelsize20,1
5,787,316.010989010989,dip_tot,le5_panelsize20,1
6,461,173.089010989011,dip_tot,le5_panelsize20,1
7,899,357.4065934065934,dip_tot,le5_panelsize20,1
8,702,333.33076923076925,dip_tot,le5_panelsize20,1
NA,14277,4789.900549450549,dip_tot,le5_panelsize20,1
2,139,108.47637362637363,cs1,le5_panelsize40,0
3,1520,1401.4120879120878,cs1,le5_panelsize40,0
4,2297,2121.2912087912086,cs1,le5_panelsize40,0
5,3001,2395.91978021978,cs1,le5_panelsize40,0
6,5087,4539.999450549451,cs1,le5_panelsize40,0
7,144,121.47747252747253,cs1,le5_panelsize40,0
1,122,97.45384615384616,sec_a10,le5_panelsize40,0
2,4419,4087.0637362637362,sec_a10,le5_panelsize40,0
3,1131,957.5527472527473,sec_a10,le5_panelsize40,0
4,3830,3292.7725274725276,sec_a10,le5_panelsize40,0
5,543,482.2978021978022,sec_a10,le5_panelsize40,0
6,329,308.7,sec_a10,le5_panelsize40,0
7,179,151.83736263736265,sec_a10,le5_panelsize40,0
8,1317,1059.5846153846153,sec_a10,le5_panelsize40,0
9,120,96.21373626373627,sec_a10,le5_panelsize40,0
10,200,156.8,sec_a10,le5_panelsize40,0
1,629,549.0615384615385,dip_tot,le5_panelsize40,0
2,25,22.91978021978022,dip_tot,le5_panelsize40,0
3,219,186,dip_tot,le5_panelsize40,0
4,1634,1458.9274725274724,dip_tot,le5_panelsize40,0
5,624,549.7554945054945,dip_tot,le5_panelsize40,0
6,308,272.2516483516483,dip_tot,le5_panelsize40,0
7,720,647.9862637362637,dip_tot,le5_panelsize40,0
8,459,408.7181318681319,dip_tot,le5_panelsize40,0
NA,7573,6594.6560439560435,dip_tot,le5_panelsize40,0
2,44,21.023076923076925,cs1,le5_panelsize40,1
3,1662,837.1406593406593,cs1,le5_panelsize40,1
4,2326,968.0994505494506,cs1,le5_panelsize40,1
5,2792,1083.1868131868132,cs1,le5_panelsize40,1
6,5302,2224.504945054945,cs1,le5_panelsize40,1
7,65,27.064285714285713,cs1,le5_panelsize40,1
1,109,53.43956043956044,sec_a10,le5_panelsize40,1
2,3909,1826.7153846153847,sec_a10,le5_panelsize40,1
3,1093,473.83351648351646,sec_a10,le5_panelsize40,1
4,3613,1607.8549450549451,sec_a10,le5_panelsize40,1
5,482,216.089010989011,sec_a10,le5_panelsize40,1
6,293,146.72857142857143,sec_a10,le5_panelsize40,1
7,193,76.83076923076923,sec_a10,le5_panelsize40,1
8,1462,610.8620879120879,sec_a10,le5_panelsize40,1
9,524,66.23901098901099,sec_a10,le5_panelsize40,1
10,215,82.3532967032967,sec_a10,le5_panelsize40,1
NA,298,0.07307692307692308,sec_a10,le5_panelsize40,1
1,755,322.3642857142857,dip_tot,le5_panelsize40,1
2,27,10.278021978021979,dip_tot,le5_panelsize40,1
3,237,111.00164835164836,dip_tot,le5_panelsize40,1
4,1429,625.1846153846154,dip_tot,le5_panelsize40,1
5,510,217.24615384615385,dip_tot,le5_panelsize40,1
6,305,125.15054945054945,dip_tot,le5_panelsize40,1
7,593,253.28406593406592,dip_tot,le5_panelsize40,1
8,465,239.23901098901098,dip_tot,le5_panelsize40,1
NA,7870,3257.2708791208793,dip_tot,le5_panelsize40,1
2,47,51.043406593406594,cs1,panelpanSIZE1,0
3,2574,2847.6626373626373,cs1,panelpanSIZE1,0
4,3511,3680.073626373626,cs1,panelpanSIZE1,0
